Model run 2021090612Z
Started looking for data at 17:00Z
Data complete at 17:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

BAY OF PLENTY; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Fine; Fine;Cloudy;PartCloudy;Fine;


ROTORUA; Tue 07 Sep 2021; Cloudy with scattered rain, turning to drizzle in the evening. Northerlies.; Showers; Showers;Rain;Showers;Drizzle;
ROTORUA; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Westerly breezes, rising to fresh southwesterlies for a time in the afternoon and evening.; FewShowers; Cloudy;Showers;Fine;Fine;
ROTORUA; Thu 09 Sep 2021; Partly cloudy, becoming fine for a time in the afternoon. Westerlies.; PartCloudy; Cloudy;PartCloudy;Fine;Cloudy;
ROTORUA; Fri 10 Sep 2021; Mostly cloudy, with patchy drizzle developing in the evening. Northwesterlies, becoming fresh in the morning.; Cloudy; Fine;PartCloudy;Cloudy;Cloudy;
ROTORUA; Sat 11 Sep 2021; Rain, clearing to fine with a few clouds in the morning. Southwesterlies, easing to light winds in the morning.; Showers; Rain;Fine;Fine;Fine;
ROTORUA; Sun 12 Sep 2021; Mostly cloudy, with a few showers for a time in the afternoon. Westerly breezes developing in the morning.; Cloudy; Fine;Cloudy;FewShowers;Cloudy;


TAUPO; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread for a time in the afternoon and evening. Northerlies, turning westerly in the evening.; Showers; Showers;Showers;Rain;Showers;
TAUPO; Wed 08 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Northwesterlies, rising to fresh southwesterlies for a time in the afternoon and evening.; Showers; Cloudy;Showers;PartCloudy;FewShowers;
TAUPO; Thu 09 Sep 2021; Mostly cloudy, with patchy drizzle for a time in the afternoon. Westerlies.; FewShowers; Cloudy;Cloudy;Cloudy;Cloudy;
TAUPO; Fri 10 Sep 2021; Cloudy with scattered rain, clearing for a time in the afternoon, but remaining cloudy. Fresh northwesterlies.; Showers; Showers;FewShowers;Cloudy;Showers;
TAUPO; Sat 11 Sep 2021; Rain, clearing to fine with a few clouds in the morning. Southwesterlies, easing to light winds in the morning.; FewShowers; Rain;Fine;Fine;Fine;
TAUPO; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerlies developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


TAUMARUNUI; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread for a time in the afternoon and evening. Fresh northerlies, easing to northwesterly breezes in the afternoon.; Showers; Cloudy;Showers;Rain;Showers;
TAUMARUNUI; Wed 08 Sep 2021; Showers, clearing to fine with a few clouds in the afternoon. Westerly breezes, rising to fresh southwesterlies for a time in the afternoon and evening.; Showers; Cloudy;Rain;Fine;Fine;
TAUMARUNUI; Thu 09 Sep 2021; Mostly cloudy, with a few showers for a time in the afternoon. Westerlies.; FewShowers; Cloudy;Cloudy;FewShowers;Fine;
TAUMARUNUI; Fri 10 Sep 2021; Partly cloudy with isolated showers, becoming rain in the evening. Fresh northwesterlies, easing to westerly breezes in the evening.; Showers; Showers;PartCloudy;Cloudy;Rain;
TAUMARUNUI; Sat 11 Sep 2021; Fine. Southwesterlies, easing to light winds in the morning.; Fine; Fine;Fine;Fine;Fine;
TAUMARUNUI; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


TAIHAPE; Tue 07 Sep 2021; Cloudy with scattered rain. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Showers;Showers;Showers;Showers;
TAIHAPE; Wed 08 Sep 2021; Mostly cloudy at first, then scattered rain developing in the morning. Westerly breezes, rising to fresh southwesterlies for a time in the afternoon and evening.; Showers; Cloudy;Showers;Showers;Showers;
TAIHAPE; Thu 09 Sep 2021; Mostly cloudy, with a few showers for a time in the afternoon. Westerlies.; Cloudy; Cloudy;Cloudy;FewShowers;Fine;
TAIHAPE; Fri 10 Sep 2021; Partly cloudy with isolated showers, becoming rain in the evening. Strong northwesterlies, easing to westerlies in the evening.; Showers; Showers;Wind;Wind;Rain;
TAIHAPE; Sat 11 Sep 2021; Drizzle, clearing and becoming fine with a few clouds in the morning. Southerlies, easing to light winds in the morning.; PartCloudy; Drizzle;Cloudy;Fine;Fine;
TAIHAPE; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


GISBORNE; Tue 07 Sep 2021; A few showers, becoming more frequent in the afternoon. Northerlies, becoming fresh in the morning.; Showers; FewShowers;Showers;FewShowers;Showers;
GISBORNE; Wed 08 Sep 2021; Mainly fine with isolated showers, becoming cloudy with scattered rain for a time in the afternoon and evening. Northwesterlies, turning southwesterly in the afternoon.; FewShowers; Fine;FewShowers;Showers;FewShowers;
GISBORNE; Thu 09 Sep 2021; Fine, becoming partly cloudy in the evening. Westerlies, becoming fresh in the evening.; Fine; Fine;Fine;Fine;PartCloudy;
