Model run 2021090612Z
Started looking for data at 20:00Z
Loading data off - processing last saved data 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

Nelson Lakes National Park; Sun 12 Sep 2021; Mostly cloudy, with patchy drizzle developing. Northwesterlies.; Cloudy; Cloudy;Cloudy;Cloudy;Drizzle;


Arthurs Pass National Park; Tue 07 Sep 2021; Rain with heavy falls, easing in the morning. Fresh northwesterlies.; Rain; Rain;Rain;Rain;Rain;
Arthurs Pass National Park; Wed 08 Sep 2021; Rain at first, clearing to fine with a few clouds in the morning. Northwesterly breezes.; Showers; Rain;PartCloudy;Fine;Fine;
Arthurs Pass National Park; Thu 09 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Fresh northwesterlies, becoming strong in the evening.; Rain; Showers;Rain;Rain;WindRain;
Arthurs Pass National Park; Fri 10 Sep 2021; Rain with heavy falls, easing in the afternoon. Fresh northwesterlies, easing in the morning.; Showers; Rain;Rain;Rain;Cloudy;
Arthurs Pass National Park; Sat 11 Sep 2021; Fine with a few clouds. Northwesterly breezes developing for a time in the afternoon and evening.; Fine; Cloudy;Fine;Fine;Cloudy;
Arthurs Pass National Park; Sun 12 Sep 2021; Cloudy with scattered rain, becoming widespread. Fresh northwesterlies, becoming strong for a time.; Showers; Cloudy;Showers;WindRain;Rain;


Aoraki Mt Cook and Westland National Parks; Tue 07 Sep 2021; Rain with heavy falls, easing in the afternoon. Northerlies, turning westerly for a time in the afternoon and evening.; Rain; Rain;Rain;Rain;Rain;
Aoraki Mt Cook and Westland National Parks; Wed 08 Sep 2021; A few showers at first, clearing to fine in the morning. Light winds, but strong southwesterlies near the coast.; FewShowers; Showers;Fine;Fine;Fine;
Aoraki Mt Cook and Westland National Parks; Thu 09 Sep 2021; Showers, turning to rain in the morning. Northwesterly breezes, rising to fresh westerlies for a time in the afternoon and evening.; Rain; Showers;Rain;Rain;Rain;
Aoraki Mt Cook and Westland National Parks; Fri 10 Sep 2021; Rain with heavy falls, easing to a few showers in the afternoon. Fresh westerlies, easing to southwesterly breezes in the morning.; Showers; Rain;Rain;Rain;PartCloudy;
Aoraki Mt Cook and Westland National Parks; Sat 11 Sep 2021; Fine, becoming partly cloudy in the afternoon. Southwesterly breezes developing for a time in the afternoon and evening.; Fine; Fine;Fine;PartCloudy;Fine;
Aoraki Mt Cook and Westland National Parks; Sun 12 Sep 2021; Showers, turning to rain with heavy falls. Northeasterly breezes, rising to fresh northerlies.; Showers; Cloudy;Rain;Rain;Rain;


Mt Aspiring National Park; Tue 07 Sep 2021; Rain with heavy falls, becoming showers in the afternoon. Northerly breezes.; Rain; Rain;Rain;Showers;Rain;
Mt Aspiring National Park; Wed 08 Sep 2021; Mainly fine with isolated showers, clearing for a time in the afternoon and evening. Westerly breezes developing for a time in the afternoon and evening.; FewShowers; Cloudy;Fine;Fine;FewShowers;
Mt Aspiring National Park; Thu 09 Sep 2021; Rain, with heavy falls in the evening. Northwesterlies developing in the morning.; Rain; Rain;Rain;Rain;Rain;
Mt Aspiring National Park; Fri 10 Sep 2021; Rain, clearing in the evening, but remaining mostly cloudy. Northwesterly breezes.; Showers; Rain;Rain;Rain;Cloudy;
Mt Aspiring National Park; Sat 11 Sep 2021; Fine with a few clouds, becoming cloudy in the west in the evening. Light winds.; PartCloudy; Fine;Fine;PartCloudy;Cloudy;
Mt Aspiring National Park; Sun 12 Sep 2021; Showers, turning to rain with heavy falls. Northerly breezes, becoming fresh later.; Rain; Showers;Rain;Rain;Rain;


Fiordland National Park; Tue 07 Sep 2021; Rain with heavy falls, easing in the morning. Fresh westerlies, but northwesterly breezes inland.; Rain; Rain;Rain;Rain;Rain;
Fiordland National Park; Wed 08 Sep 2021; A few showers, becoming more frequent in the evening. Fresh southwesterlies, but westerly breezes inland.; FewShowers; FewShowers;FewShowers;FewShowers;Showers;
Fiordland National Park; Thu 09 Sep 2021; Rain with heavy falls, easing for a time in the afternoon and evening. Strong northwesterlies, but northwesterlies inland.; Wind; Rain;Rain;Rain;WindRain;
Fiordland National Park; Fri 10 Sep 2021; Showers, easing in the evening. Westerlies, easing to light winds north of Te Anau in the afternoon.; Showers; Rain;Showers;Showers;FewShowers;
Fiordland National Park; Sat 11 Sep 2021; Mostly cloudy, with drizzle developing about the Fiords in the evening. Southwesterly breezes, rising to fresh northerlies about the south coast in the afternoon.; FewShowers; FewShowers;Fine;Cloudy;Cloudy;
Fiordland National Park; Sun 12 Sep 2021; Showers, turning to rain with heavy falls for a time. Fresh northerlies, easing to westerlies later.; Rain; Showers;Rain;Rain;Rain;
Finished at 20:03 Mon 06-Sep-2021 in 3 minutes.

