Model run 2021090612Z
Started looking for data at 19:00Z
Data complete at 19:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

WAIKATO; Wed 15 Sep 2021; Fine. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
WAIKATO; Thu 16 Sep 2021; Partly cloudy, becoming fine later. Southwesterly breezes developing for a time.; PartCloudy; PartCloudy;Cloudy;PartCloudy;Fine;


WAITOMO; Tue 07 Sep 2021; Cloudy with patchy drizzle, becoming rain in the morning. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Cloudy;Rain;Rain;Showers;
WAITOMO; Wed 08 Sep 2021; Showers, clearing to fine in the evening. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; Showers; Showers;Rain;Wind;Fine;
WAITOMO; Thu 09 Sep 2021; Fine at first, then a few showers developing in the morning. Fresh westerlies.; FewShowers; Fine;FewShowers;FewShowers;FewShowers;
WAITOMO; Fri 10 Sep 2021; A few showers, becoming rain in the evening. Westerlies, rising to strong northwesterlies in the morning.; Showers; FewShowers;Wind;Wind;Rain;
WAITOMO; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon. Fresh southwesterlies, easing to a light breeze in the afternoon.; PartCloudy; Showers;FewShowers;Fine;Fine;
WAITOMO; Sun 12 Sep 2021; Fine with a few clouds, then isolated showers for a time. Westerlies.; FewShowers; Fine;Fine;FewShowers;PartCloudy;
WAITOMO; Mon 13 Sep 2021; Cloudy with scattered rain, becoming widespread. Fresh northwesterlies, becoming strong later.; Showers; Showers;Wind;Rain;WindRain;
WAITOMO; Tue 14 Sep 2021; Showers, clearing to fine. Southerlies.; Showers; Rain;FewShowers;PartCloudy;Fine;
WAITOMO; Wed 15 Sep 2021; Fine, becoming partly cloudy later. Southwesterly breezes.; Fine; Fine;Fine;Fine;Fine;
WAITOMO; Thu 16 Sep 2021; A few showers, clearing for a time, but becoming mostly cloudy. Southwesterlies, easing to light winds.; FewShowers; Cloudy;Cloudy;Cloudy;Fine;


BAY OF PLENTY; Tue 07 Sep 2021; Rain, becoming showers in the evening. Fresh northerlies, easing to westerlies in the evening.; Rain; Rain;Rain;Rain;Showers;
BAY OF PLENTY; Wed 08 Sep 2021; A few showers, clearing to fine in the evening. Westerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; PartCloudy;Showers;FewShowers;Fine;
BAY OF PLENTY; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Westerlies developing in the morning.; PartCloudy; Fine;Fine;PartCloudy;PartCloudy;
BAY OF PLENTY; Fri 10 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers for a time in the afternoon and evening. Northwesterlies, becoming fresh in the morning.; FewShowers; PartCloudy;FewShowers;PartCloudy;Showers;
BAY OF PLENTY; Sat 11 Sep 2021; Rain, easing to isolated showers and fine breaks in the morning. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Showers;Fine;FewShowers;Fine;
BAY OF PLENTY; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes.; Fine; Fine;Cloudy;Cloudy;Fine;
BAY OF PLENTY; Mon 13 Sep 2021; Fine with a few clouds, then becoming cloudy with scattered rain developing. Northwesterlies, becoming fresh for a time.; Showers; Fine;Cloudy;Showers;Showers;
BAY OF PLENTY; Tue 14 Sep 2021; Showers, easing. Westerlies, turning southerly.; Showers; Rain;FewShowers;FewShowers;Fine;
BAY OF PLENTY; Wed 15 Sep 2021; Fine, becoming partly cloudy later. Northwesterly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;
BAY OF PLENTY; Thu 16 Sep 2021; Mainly fine with isolated showers, clearing for a time, but becoming mostly cloudy. Westerly breezes developing for a time.; Cloudy; Fine;Cloudy;Cloudy;Fine;


ROTORUA; Tue 07 Sep 2021; Rain, easing in the evening. Northerlies, turning westerly in the evening.; Rain; Rain;Rain;Rain;Showers;
ROTORUA; Wed 08 Sep 2021; A few showers, clearing to fine in the evening. Westerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; Cloudy;Showers;FewShowers;Fine;
ROTORUA; Thu 09 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle developing in the evening. Fresh westerlies, easing in the afternoon.; PartCloudy; Fine;Fine;PartCloudy;Cloudy;
ROTORUA; Fri 10 Sep 2021; Partly cloudy, then scattered rain developing in the evening. Westerlies, becoming fresh in the morning.; FewShowers; Cloudy;PartCloudy;PartCloudy;Showers;
ROTORUA; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Showers;Fine;PartCloudy;Fine;
ROTORUA; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies developing for a time.; Fine; Fine;Cloudy;Cloudy;Fine;
ROTORUA; Mon 13 Sep 2021; Mostly cloudy, with patchy drizzle developing. Northwesterlies, becoming fresh for a time.; Cloudy; Fine;Cloudy;Showers;Cloudy;
ROTORUA; Tue 14 Sep 2021; Showers, clearing to fine later. Westerlies, turning southerly.; Showers; Rain;FewShowers;FewShowers;Fine;
ROTORUA; Wed 15 Sep 2021; Fine. Westerly breezes developing later.; Fine; Fine;Fine;Fine;Fine;
ROTORUA; Thu 16 Sep 2021; Mostly cloudy, with fine spells and isolated showers developing. Westerlies, easing to light winds.; Cloudy; Cloudy;Cloudy;PartCloudy;Fine;


TAUPO; Tue 07 Sep 2021; Rain, becoming showers in the evening. Fresh northerlies, easing to westerlies in the evening.; Rain; Rain;Rain;Rain;Showers;
TAUPO; Wed 08 Sep 2021; A few showers, clearing to fine in the evening. Westerlies, becoming fresh for a time in the afternoon and evening.; Showers; Cloudy;Rain;FewShowers;Fine;
TAUPO; Thu 09 Sep 2021; Mainly fine with isolated showers, becoming cloudy with scattered rain in the afternoon. Westerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; PartCloudy;PartCloudy;Showers;Cloudy;
TAUPO; Fri 10 Sep 2021; A few showers, becoming more frequent in the evening. Fresh northwesterlies.; FewShowers; Cloudy;Wind;FewShowers;Showers;
TAUPO; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Showers;PartCloudy;Fine;Fine;
TAUPO; Sun 12 Sep 2021; Fine with a few clouds. Westerlies.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;
TAUPO; Mon 13 Sep 2021; Cloudy with scattered rain, becoming widespread later. Northwesterlies, becoming fresh for a time.; Showers; Showers;Showers;Showers;Rain;
TAUPO; Tue 14 Sep 2021; Showers, easing. Southerly breezes.; Showers; Rain;Showers;FewShowers;Fine;
TAUPO; Wed 15 Sep 2021; Fine, becoming partly cloudy later. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
TAUPO; Thu 16 Sep 2021; Mostly cloudy. Westerly breezes developing for a time.; Cloudy; Cloudy;Cloudy;PartCloudy;Cloudy;


TAUMARUNUI; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Showers;Rain;Showers;Rain;
TAUMARUNUI; Wed 08 Sep 2021; Showers, clearing to fine with a few clouds in the evening. Westerlies, rising to strong southwesterlies for a time in the afternoon and evening.; Showers; Showers;Rain;FewShowers;Fine;
